durationStartYear	DURATION_END_YEAR	ECAI	fupItem	value	COUNTERPARTY_RISK_TYPE_CODE	TYPE_OF_BOND
0	5	3	D_Relative	0.025	CR3	Government Bonds
5	10	3	D_Relative	0.015	CR3	Government Bonds
10	15	3	D_Relative	0.01	CR3	Government Bonds
15	20	3	D_Relative	0.01	CR3	Government Bonds
20	9999	3	D_Relative	0.005	CR3	Government Bonds
0	5	3	D_Subtract	0	CR3	Government Bonds
5	10	3	D_Subtract	5	CR3	Government Bonds
10	15	3	D_Subtract	10	CR3	Government Bonds
15	20	3	D_Subtract	15	CR3	Government Bonds
20	9999	3	D_Subtract	20	CR3	Government Bonds
0	5	4	Absolute	0	CR3	Government Bonds
5	10	4	Absolute	0.225	CR3	Government Bonds
10	15	4	Absolute	0.35	CR3	Government Bonds
15	20	4	Absolute	0.44	CR3	Government Bonds
20	9999	4	Absolute	0.465	CR3	Government Bonds
0	5	4	D_Relative	0.045	CR3	Government Bonds
5	10	4	D_Relative	0.025	CR3	Government Bonds
10	15	4	D_Relative	0.018	CR3	Government Bonds
15	20	4	D_Relative	0.005	CR3	Government Bonds
20	9999	4	D_Relative	0.005	CR3	Government Bonds
0	5	4	D_Subtract	0	CR3	Government Bonds
5	10	4	D_Subtract	5	CR3	Government Bonds
10	15	4	D_Subtract	10	CR3	Government Bonds
15	20	4	D_Subtract	15	CR3	Government Bonds
20	9999	4	D_Subtract	20	CR3	Government Bonds
0	5	5	Absolute	0	CR3	Government Bonds
5	10	5	Absolute	0.375	CR3	Government Bonds
10	15	5	Absolute	0.585	CR3	Government Bonds
15	20	5	Absolute	0.61	CR3	Government Bonds
20	9999	5	Absolute	0.635	CR3	Government Bonds
0	5	5	D_Relative	0.075	CR3	Government Bonds
5	10	5	D_Relative	0.042	CR3	Government Bonds
10	15	5	D_Relative	0.005	CR3	Government Bonds
15	20	5	D_Relative	0.005	CR3	Government Bonds
20	9999	5	D_Relative	0.005	CR3	Government Bonds
0	5	5	D_Subtract	0	CR3	Government Bonds
5	10	5	D_Subtract	5	CR3	Government Bonds
