Balloon ID	Bus ID	Amount Requested	Amount Decided	Currency	AttradiusReshare	LOB	Answer Date	Request Date	Expiry Date	Comments
03079C1 72	3878406	230000000	230000000	PLN	3.6	C	11/11/2022	07/11/2022	31/12/2023	-
03583C1 02	50574064	700000	700000	EUR	39.0	C	11/11/2022	07/11/2022	30/09/2023	-
08992C1 04	16711652	2999999	2999999	EUR	28.0	C	11/11/2022	07/11/2022	31/07/2023	-
09781C1 01	796492	5150000000	5150000000	THB	6.0	C	16/11/2022	28/03/2022	18/11/2023	-
02065C1 01	16549970	962222222	962222222	DZD	17.55	C	28/11/2022	07/11/2022	06/10/2023	-
03159C1 03	3848336	160000000	160000000	USD	8.57	C	28/11/2022	07/11/2022	31/10/2023	-
08890B1 01	14490225	35000000000	35000000000	JPY	2.75	B	28/11/2022	22/11/2022	31/10/2023	-
03079C1 72	303371	220000000	220000000	PLN	3.6	C	28/11/2022	22/11/2022	30/10/2023	-
36180C1 01	18411945	80000000	80000000	PLN	15.93	C	28/11/2022	22/11/2022	31/12/2023	-
04252C1 71	18411945	80000000	80000000	PLN	6.83	C	28/11/2022	22/11/2022	31/12/2023	-
36122B1 01	18874882	3770600000	3770600000	MXN	3.0	B	28/11/2022	22/11/2022	31/07/2023	-
02901C1 01	2061293	60000000	60000000	MAD	20.0	C	28/11/2022	22/11/2022	31/10/2023	-
02065C1 01	13735294	600000000	600000000	DZD	17.55	C	28/11/2022	22/11/2022	31/12/2023	-
36180C1 01	16549526	90000000	90000000	PLN	24.5	C	28/11/2022	22/11/2022	31/12/2023	-
04252C1 71	16549526	90000000	90000000	PLN	10.5	C	28/11/2022	22/11/2022	31/12/2023	-
04566B1 01	3937153	76500000	76500000	PLN	35.0	B	28/11/2022	22/11/2022	31/12/2023	-
08992C1 04	55174297	2999999	2999999	EUR	28.0	C	02/12/2022	22/11/2022	31/10/2023	-
02065C1 01	9760620	350000000	350000000	DZD	17.55	C	02/12/2022	22/11/2022	11/10/2023	-
03079B1 73	10188420	120000000	120000000	PLN	3.6	B	02/12/2022	22/11/2022	31/12/2023	-
08992C1 04	14128612	2499999	2499999	EUR	28.0	C	02/12/2022	22/11/2022	31/07/2023	-
08992C1 04	15519279	3499999	3499999	EUR	28.0	C	02/12/2022	22/11/2022	31/08/2023	-
08992C1 04	16500497	2300000	2300000	EUR	28.0	C	02/12/2022	22/11/2022	30/09/2023	-
08992C1 04	38260969	3799999	3799999	EUR	28.0	C	02/12/2022	22/11/2022	31/10/2023	-
03079C1 72	4279732	230000000	230000000	PLN	3.6	C	02/12/2022	22/11/2022	31/12/2023	-
35507C1 01	2523165	191722448	191722448	MUR	24.5	C	02/12/2022	22/11/2022	31/12/2023	-
03079C1 72	3716523	160000000	160000000	PLN	3.6	C	02/12/2022	22/11/2022	31/12/2023	-
36031C1 01	18448780	320000	320000	USD	45.0	C	02/12/2022	29/11/2022	30/11/2023	-
35507C1 01	21474106	265000000	265000000	MUR	24.5	C	02/12/2022	29/11/2022	30/11/2023	-
03079C1 72	2337016	160000000	160000000	PLN	3.6	C	02/12/2022	29/11/2022	31/12/2023	-
36031C1 01	23875131	1286666	1286666	USD	45.0	C	02/12/2022	29/11/2022	30/11/2023	-
02901C1 01	7214871	75000000	75000000	MAD	20.0	C	09/12/2022	06/12/2022	30/11/2023	-
04551B1 01	7228594	1810000000	1810000000	BRL	15.0	B	16/12/2022	22/11/2022	31/12/2024	-
09780B1 01	21585060	2214285	2214285	EUR	70.0	C	16/12/2022	13/12/2022	31/12/2023	-
08296C1 01	7114479	65000000	65000000	EUR	9.0	C	16/12/2022	13/12/2022	30/11/2023	-
36180C1 01	13927283	140000000	140000000	PLN	15.93	C	16/12/2022	13/12/2022	31/12/2023	-
04252C1 71	13927283	140000000	140000000	PLN	6.83	C	16/12/2022	13/12/2022	31/12/2023	-
02126C1 01	9116962	10410000	10410000	USD	40.0	C	16/12/2022	13/12/2022	31/12/2023	-
04566B1 01	14269377	35000000	35000000	PLN	35.0	C	16/12/2022	13/12/2022	30/11/2023	-
02901C1 01	24154002	50000000	50000000	MAD	20.0	C	16/12/2022	13/12/2022	31/12/2023	-
36180C1 01	4348004	75003138	75003138	PLN	15.93	C	16/12/2022	13/12/2022	31/12/2023	-
04252C1 71	4348004	75007320	75007320	PLN	6.83	C	16/12/2022	13/12/2022	31/12/2023	-
36180C1 01	9007418	100000000	100000000	PLN	15.93	C	16/12/2022	13/12/2022	31/12/2023	-
04252C1 71	9007418	150000000	150000000	PLN	6.83	C	16/12/2022	13/12/2022	31/12/2023	-
