BusID	Parent	Country
15355428	DAYCO PRODUCTS, LLC	USA
2266540	DENSO CORPORATION	JPN
24131333	ALBION JVCO LIMITED	GBR
13679214	YPF SA	ARG
3985005	LINDE GMBH	DEU
3880271	SIEMENS AG	DEU
23042861	CORTEVA, INC.	USA
21245998	STELLANTIS N.V.	NLD
2736065	AES CORPORATION, THE	USA
24313463	CORPORACIÓN AMÉRICA INTERNATIONAL	LUX
17360040	ARMADILLO HOLDINGS LTD	CYM
10253803	BAKER HUGHES HOLDINGS LLC	USA
11042860	LUMEN TECHNOLOGIES, INC.	USA
4017342	LAIR LIQUIDE SOCIETE ANONYME POUR	FRA
15081692	TENARIS S.A.	LUX
4116772	CARGILL, INCORPORATED	USA
870802	DEERE & COMPANY	USA
20837213	CNH INDUSTRIAL N.V.	NLD
3993115	COFCO CORPORATION	CHN
4143367	FORD MOTOR COMPANY	USA
2700316	DANA INCORPORATED	USA
1701092	GENERAL MOTORS COMPANY	USA
21231039	CLIBA INGENIERIA AMBIENTAL S.A.	ARG
18716139	EDENRED	FRA
740284	FLOWSERVE CORPORATION	USA
13682431	ABB LTD	CHE
2285801	HACI OMER SABANCI HOLDING A.S.	TUR
22827831	EPTA HDP S.P.A.	ITA
1245038	NEWMONT CORPORATION	USA
11261220	ARCELORMITTAL	LUX
899171	ARNEG S.P.A.	ITA
13677617	RIO CHICO SA	ARG
4803931	ALSTOM	FRA
2152745	3M COMPANY	USA
19732191	PLASTAR SA T/A PLASTAR	ARG
2634342	EATON CORPORATION	USA
4762158	BURELLE	FRA
10262244	TELEPERFORMANCE SE	FRA
4190133	CARRARO S.P.A.	ITA
3930246	EMPRESAS CMPC S.A.	CHL
21650857	HEWLETT PACKARD ENTERPRISE COMPANY	USA
9882111	ENOVIS CORPORATION	USA
10606758	PLUSPETROL RESOURCES CORPORATION	NLD
10279460	FERRERO INTERNATIONAL S.A.	LUX
3955052	OFFICINE MACCAFERRI - S.P.A.	ITA
937711	TIGRE S A PARTICIPACOES	BRA
4890883	HONDA MOTOR CO LTD	JPN
