Balloon ID	Bus ID	Current Exposure	Currency	Last Updated	LOB
36117C1 01	37424	871607017	PKR	22/06/2022	C
36117C1 01	3923997	871607017	PKR	22/06/2022	C
36117C1 01	4329039	544755087	PKR	22/06/2022	C
36117C1 01	5874497	522964210	PKR	22/06/2022	C
36117C1 01	3844014	366074385	PKR	22/06/2022	C
36117C1 01	4250194	217901754	PKR	22/06/2022	C
36117C1 01	10450885	326853333	PKR	22/06/2022	C
36117C1 01	383386	217901754	PKR	22/06/2022	C
36117C1 01	806197	174321403	PKR	22/06/2022	C
36117C1 01	3576141	163425964	PKR	22/06/2022	C
36117C1 01	10585360	163425964	PKR	22/06/2022	C
36117C1 01	15503762	163425964	PKR	22/06/2022	C
36117C1 01	644694	141636491	PKR	22/06/2022	C
36117C1 01	16451761	141636491	PKR	22/06/2022	C
36117C1 01	11000324	130741052	PKR	22/06/2022	C
36117C1 01	39591751	130741052	PKR	22/06/2022	C
36117C1 01	3534906	108951578	PKR	22/06/2022	C
36117C1 01	4112694	108951578	PKR	22/06/2022	C
36117C1 01	4788412	108951578	PKR	22/06/2022	C
36117C1 01	15774936	108951578	PKR	22/06/2022	C
36117C1 01	16103368	108951578	PKR	22/06/2022	C
36117C1 01	24956	98056140	PKR	22/06/2022	C
36117C1 01	2466685	108951578	PKR	22/06/2022	C
36117C1 01	12177180	108951578	PKR	22/06/2022	C
36117C1 01	13888812	108951578	PKR	22/06/2022	C
36117C1 01	16862393	108951578	PKR	22/06/2022	C
36117C1 01	83171775	108951578	PKR	22/06/2022	C
36117C1 01	252777	87160701	PKR	22/06/2022	C
36117C1 01	11295837	87160701	PKR	22/06/2022	C
36117C1 01	14497526	87160701	PKR	22/06/2022	C
36117C1 01	16777536	76265263	PKR	22/06/2022	C
36117C1 01	40954089	76265263	PKR	22/06/2022	C
36117C1 01	3524552	65371228	PKR	22/06/2022	C
36117C1 01	9225536	65371228	PKR	22/06/2022	C
36117C1 01	11363391	65371228	PKR	22/06/2022	C
36117C1 01	93071751	65371228	PKR	22/06/2022	C
36117C1 01	18892	65371228	PKR	22/06/2022	C
36117C1 01	585186	65371228	PKR	22/06/2022	C
36117C1 01	47744054	65371228	PKR	22/06/2022	C
36117C1 01	62820	54475789	PKR	22/06/2022	C
36117C1 01	2133876	54475789	PKR	22/06/2022	C
36117C1 01	3849092	54475789	PKR	22/06/2022	C
36117C1 01	15507739	54475789	PKR	22/06/2022	C
36117C1 01	15706652	54475789	PKR	22/06/2022	C
36117C1 01	20964915	54475789	PKR	22/06/2022	C
36117C1 01	22239709	54475789	PKR	22/06/2022	C
36117C1 01	20395153	54475789	PKR	22/06/2022	C
36117C1 01	4287376	43580350	PKR	22/06/2022	C
36117C1 01	4772619	43580350	PKR	22/06/2022	C
36117C1 01	15564305	43580350	PKR	22/06/2022	C
36117C1 01	16215164	43580350	PKR	22/06/2022	C
36117C1 01	96431667	43580350	PKR	22/06/2022	C
36117C1 01	40414	43580350	PKR	22/06/2022	C
36117C1 01	6897502	43580350	PKR	22/06/2022	C
36117C1 01	10265366	43580350	PKR	22/06/2022	C
36117C1 01	13870070	43580350	PKR	22/06/2022	C
36117C1 01	16913947	43580350	PKR	22/06/2022	C
36117C1 01	57994297	43580350	PKR	22/06/2022	C
36117C1 01	65665115	43580350	PKR	22/06/2022	C
36117C1 01	85023704	43580350	PKR	22/06/2022	C
36117C1 01	11335218	43580350	PKR	22/06/2022	C
36117C1 01	35545849	43580350	PKR	22/06/2022	C
36117C1 01	99571538	43580350	PKR	22/06/2022	C
36117C1 01	16655394	35299649	PKR	22/06/2022	C
36117C1 01	10504325	32684912	PKR	22/06/2022	C
36117C1 01	18636236	32684912	PKR	22/06/2022	C
36117C1 01	20798092	32684912	PKR	22/06/2022	C
36117C1 01	50855583	32684912	PKR	22/06/2022	C
36117C1 01	71756219	32684912	PKR	22/06/2022	C
36117C1 01	269785	27237894	PKR	22/06/2022	C
36117C1 01	4275833	26148771	PKR	22/06/2022	C
36117C1 01	10275563	26148771	PKR	22/06/2022	C
36117C1 01	4167436	5447017	PKR	22/06/2022	C
02143B1 01	826992	34866666	USD	22/06/2022	B
02143B1 01	15607785	23855555	USD	22/06/2022	B
02143B1 01	7195741	22533333	USD	22/06/2022	B
02143B1 01	21941271	16277777	USD	22/06/2022	B
02143B1 01	728625	11222222	USD	22/06/2022	B
02143B1 01	22409774	10900000	USD	22/06/2022	B
02143B1 01	15257243	9744444	USD	22/06/2022	B
02143B1 01	21113482	8911111	USD	22/06/2022	B
36117C1 01	16023765	25214035	PKR	22/06/2022	C
36117C1 01	19754253	24186666	PKR	22/06/2022	C
36117C1 01	3966936	21790877	PKR	22/06/2022	C
36117C1 01	10120089	21790877	PKR	22/06/2022	C
36117C1 01	13076545	21790877	PKR	22/06/2022	C
36117C1 01	21536374	21790877	PKR	22/06/2022	C
36117C1 01	59528451	21790877	PKR	22/06/2022	C
36117C1 01	81525977	21790877	PKR	22/06/2022	C
36117C1 01	14343662	19611228	PKR	22/06/2022	C
36117C1 01	20362515	19611228	PKR	22/06/2022	C
36117C1 01	22345789	17431578	PKR	22/06/2022	C
36117C1 01	12062909	16342456	PKR	22/06/2022	C
36117C1 01	21820649	13073684	PKR	22/06/2022	C
36117C1 01	11887084	11984561	PKR	22/06/2022	C
36117C1 01	86398233	11984561	PKR	22/06/2022	C
36117C1 01	1407205	10895438	PKR	22/06/2022	C
36117C1 01	4189499	10895438	PKR	22/06/2022	C
36117C1 01	10232079	10895438	PKR	22/06/2022	C
36117C1 01	11315205	10895438	PKR	22/06/2022	C
36117C1 01	17146542	10895438	PKR	22/06/2022	C
36117C1 01	21879379	10895438	PKR	22/06/2022	C
36117C1 01	71462488	10895438	PKR	22/06/2022	C
02143B1 01	13679214	72277777	USD	22/06/2022	B
36117C1 01	18552128	7003508	PKR	22/06/2022	C
36117C1 01	762161	6443508	PKR	22/06/2022	C
02143B1 01	9805193	7622222	USD	22/06/2022	B
02143B1 01	20338493	7522222	USD	22/06/2022	B
02143B1 01	10718651	7166666	USD	22/06/2022	B
02143B1 01	18502825	7066666	USD	22/06/2022	B
02143B1 01	22993649	7100000	USD	22/06/2022	B
02143B1 01	17173033	6822222	USD	22/06/2022	B
02143B1 01	1074658	6655555	USD	22/06/2022	B
02143B1 01	20343275	6666666	USD	22/06/2022	B
02143B1 01	1518940	6211111	USD	22/06/2022	B
02143B1 01	16670725	4555555	USD	22/06/2022	B
02143B1 01	23411355	4500000	USD	22/06/2022	B
02143B1 01	20338472	3700000	USD	22/06/2022	B
02143B1 01	19175214	3500000	USD	22/06/2022	B
02143B1 01	20338610	3200000	USD	22/06/2022	B
02143B1 01	21588105	3044444	USD	22/06/2022	B
02143B1 01	23047373	3088888	USD	22/06/2022	B
02143B1 01	11119589	2744444	USD	22/06/2022	B
02143B1 01	19953463	2688888	USD	22/06/2022	B
02143B1 01	24008251	2466666	USD	22/06/2022	B
02143B1 01	4143700	2400000	USD	22/06/2022	B
02143B1 01	16622737	2311111	USD	22/06/2022	B
02143B1 01	21385898	2333333	USD	22/06/2022	B
02143B1 01	16629751	2100000	USD	22/06/2022	B
02143B1 01	24008255	2166666	USD	22/06/2022	B
02143B1 01	15166311	2044444	USD	22/06/2022	B
02143B1 01	22993638	1966666	USD	22/06/2022	B
02143B1 01	15665530	1944444	USD	22/06/2022	B
02143B1 01	21385859	1866666	USD	22/06/2022	B
02143B1 01	20832408	1766666	USD	22/06/2022	B
02143B1 01	21462946	1788888	USD	22/06/2022	B
